"sample","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","note"
"CC001",0.824595794064406,0.0245069125611237,0.156832815494414,22.2260092014523,4.41965655194549,26.8891741636448,26.37275,0.06079512066127,""
"CC001",0.39861567382251,0.000430346842276102,0.43273305029352,15.7835906534904,1.601789325058,15.6272943010015,15.58625,0.00864645338449191,""
"CC001",0.427486539116923,0.00271502547585405,0.307320850007448,16.4412862731555,2.25545120203574,16.4702035078243,16.3425,0.0308900290460804,""
"Sut001",0.641447347223052,0.00120230809302245,0.339052663923354,18.515140933611,2.04436435490339,23.3931602344322,23.3725,0.0398980701521587,""
"Sut001",0.554275880995777,0.00210229019512033,0.300083597894834,18.5642773960759,2.30984694072771,20.1829135465075,20.1255,0.0407011990915299,""
"Sut001",0.45646150033871,0.00443478671836582,0.258179376425475,17.9110423884133,2.68475038617202,16.9079784963481,16.7475,0.0183787780137837,""
"Kin002",0.448695320248297,0.00500762076845499,0.244985640719847,18.3037667695021,2.82933799108901,16.440614632057,16.2565,0.0243598990844796,""
"Kin002",0.428562250722067,0.00686194153483027,0.212505849663556,19.3797228462199,3.26177929528694,15.2297110683245,15.03875,0.0228715899769302,""
"Kin002",0.482437171577154,0.00798219969686776,0.207615763597189,19.6755420789107,3.33860574240776,16.9997586590373,16.7815,0.0260832662574511,""
"CL001",0.648194066601032,0.00310521437722498,0.275376507317037,19.3782155169971,2.5170890113801,23.0721737124929,22.92375,0.0249681711931471,""
"CL001",0.832183561627466,0.000344788289845038,0.399030222557953,19.5184798108906,1.73707940244871,29.5179532490981,29.662,0.0598987967790373,""
"CL001",0.61399440470088,0.00314878921056696,0.283561566088565,18.5773633691676,2.44443275624826,22.3460931618574,22.24025,0.0197357994365907,""
"Gle001",0.512261277501404,0.00141571241176021,0.346768714975503,16.9808699391391,1.99887461188334,19.4665200737526,19.38725,0.0167549385960304,""
"Gle001",0.426256456870895,0.00634837172378309,0.237656604041689,17.6382116574077,2.91659128663791,15.8947779929775,15.75125,0.0197430567655129,""
"Gle001",0.43912400872885,0.0026950702675025,0.293845526674098,17.3125020612548,2.35888287429575,16.5359171879922,16.42925,0.0170225940394538,""
"Kin003",0.524937090304518,0.00307703853470194,0.286856342141271,17.8954796461322,2.41635647790065,19.4615750329487,19.331,0.0176954908003697,""
"Kin003",0.507068639055778,0.00325743161415442,0.287335949656234,17.5448375988921,2.41232321047617,18.9759317948419,18.854,0.0183302851081784,""
"Kin003",0.545218698637206,0.00195348529130825,0.317028429802077,17.752295970731,2.1863880819543,20.2965324407826,20.18875,0.0143732286626774,""
"But001",0.395243218592742,0.000203207867311962,0.495964913596456,15.2682431601389,1.39757301687661,15.6993451961346,15.82875,0.0212564919805924,""
"But001",0.406957748403601,0.000170236780567454,0.511098186965784,15.2198856250563,1.35619182035241,16.1844230508947,16.30775,0.0223776916487889,""
"But001",0.368256770982062,9.31220655718574e-05,0.555658419326664,14.905509145197,1.24743395663812,14.7612175589094,14.8675,0.0244110080344846,""
"Gle002",0.511172793712549,0.00017948585229813,0.487610874194588,16.3122190384551,1.42151706871766,19.7706611984441,19.80125,0.0104166248810396,""
"Gle002",0.534203148730453,0.000297559695602222,0.452090549929953,16.5726964245746,1.53320431198427,20.5219862001467,20.54075,0.0107196689398561,""
"Gle002",0.549206938903587,0.000334440029320467,0.439408096972394,16.8480369913266,1.57745654969916,20.9470694668662,20.93425,0.0102416828719618,""
"But002",0.674393209686208,0.000111409593024215,0.532980705252482,16.3386589432142,1.30051083224784,26.0659929069313,26.12075,0.0496886869320729,""
"But002",0.458180481163009,0.000249690726123687,0.482915575974248,15.5601737786409,1.43533821447273,18.0654595660396,18.1345,0.0100160036369885,""
"But002",0.438636620930281,0.00017886124015322,0.501466441046348,15.5631719447143,1.3822404129649,17.2936938853055,17.3575,0.0117026792059017,""
"Kin001",0.403251739325098,0.000424696185327293,0.398250160732582,17.2125191553204,1.74048186015769,15.2327681862754,15.224,0.00790219913074118,""
"Kin001",0.438882380727027,0.00164867574323907,0.310548681815774,17.9697927800262,2.23200812351585,16.2422121360887,16.1645,0.0144137339860825,""
"Kin001",0.39959482748227,0.000681793430911521,0.364707942784922,17.4708890049168,1.90055411260597,14.9905729159274,14.945,0.0106491878921782,""
